wgprec,wgmaxqerr,actmaxqerr,maxds,meands,vards,signds,convlayers,actlayers,actmethod,wgmethod,ISOaccuracy
4,0.125,0.125,1.0,0.4733630158487956,0.06328692270751024,0.153233836,18,19,4,1,1
4,0.125,0.125,1.0,0.4514187569455953,0.03971700358504954,0.22502090700000002,7,8,4,1,1
4,0.125,0.125,2.640000104904175,1.0192130323567758,0.3823943430784247,0.015627842,5,7,4,1,1
4,0.125,0.125,2.640000104904175,1.0192130418291365,0.38239431745481056,0.015627842,20,9,4,1,1
4,0.125,0.125,2.640000104904175,1.0192130765611258,0.3823942719158451,0.015627842,53,17,4,1,1
3,0.25,0.25,1.0,0.47336301447550455,0.0632869243382477,0.153233836,18,19,4,1,1
3,0.25,0.25,1.0,0.45141875704974094,0.03971700366459899,0.22502090700000002,7,8,4,1,1
3,0.25,0.25,2.640000104904175,1.0192130891909401,0.3823942082814582,0.015627842,5,7,4,1,1
3,0.25,0.25,2.640000104904175,1.019213111293115,0.3823941348107234,0.015627842,20,9,4,1,1
3,0.25,0.25,2.640000104904175,1.0192130544589508,0.3823943138120425,0.015627842,53,17,4,1,1
2,0.5,0.5,1.0,0.47336301517486573,0.06328692381601655,0.153233836,18,19,4,1,1
2,0.5,0.5,1.0,0.45141875795233616,0.03971700243311971,0.22502090700000002,7,8,4,1,1
2,0.5,0.5,2.640000104904175,1.0192130702462188,0.38239422479669893,0.015627842,5,7,4,1,1
2,0.5,0.5,2.640000104904175,1.0192130955058474,0.38239422698352166,0.015627842,20,9,4,1,0
2,0.5,0.5,2.640000104904175,1.0192131018207544,0.38239418885142107,0.015627842,53,17,4,1,0
4,0.125,0.125,1.0,0.47336301411946613,0.06328692434471145,0.153233836,18,19,1,1,1
4,0.125,0.125,1.0,0.4514187573448201,0.03971700304235962,0.22502090700000002,7,8,1,1,1
4,0.125,0.125,2.640000104904175,1.0192130497227705,0.3823943392536642,0.015627842,5,7,1,1,1
4,0.125,0.125,2.640000104904175,1.0192130955058474,0.3823941196301004,0.015627842,20,9,1,1,1
4,0.125,0.125,2.640000104904175,1.0192131081356617,0.3823941570342273,0.015627842,53,17,1,1,0
3,0.25,0.25,1.0,0.4733630141703288,0.06328692359719734,0.153233836,18,19,1,1,1
