Dataset#,Data_Type,Dataset,Algorithm,PE_Type,Hardware ,Quantization_Method,Optimization_method,Iso_Accuracy_within_3%,Link
1,INT4+INT4+TPR FP4,CIFAR10,torch-vgg16,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,https://proceedings.neurips.cc/paper_files/paper/2020/file/13b919438259814cd5be8cb45877d577-Paper.pdf
2,INT4+INT4+TPR FP4,CIFAR10,torch-googlenet,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
3,INT4+INT4+TPR FP4,CIFAR10,torch-resnet18,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
4,INT4+INT4+TPR FP4,CIFAR10,torch-resnet50,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
5,INT4+INT4+TPR FP4,CIFAR10,torch-resnet101,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
6,INT4+INT4+TPR FP4,CIFAR10,torch-densenet121,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
7,INT4+INT4+TPR FP4,CIFAR10,torch-mobilenet_v2,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
8,INT4+INT4+TPR FP4,IMAGENET,torch-alexnet,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
9,INT4+INT4+TPR FP4,IMAGENET,torch-resnet18,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
10,INT4+INT4+TPR FP4,IMAGENET,torch-resnet50,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,Yes,
11,INT4+INT4+TPR FP4,IMAGENET,torch-mobilenet_v2,Mixed_Precision,Digital,PACT+SAWB+TPR+None,QAT+Hybrid data Types,No,
12,INT4+INT4+FP4+FP8,CIFAR10,torch-vgg16,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
13,INT4+INT4+FP4+FP8,CIFAR10,torch-googlenet,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
14,INT4+INT4+FP4+FP8,CIFAR10,torch-resnet18,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
15,INT4+INT4+FP4+FP8,CIFAR10,torch-resnet50,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
16,INT4+INT4+FP4+FP8,CIFAR10,torch-resnet101,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
17,INT4+INT4+FP4+FP8,CIFAR10,torch-densenet121,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
18,INT4+INT4+FP4+FP8,CIFAR10,torch-mobilenet_v2,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
19,INT4+INT4+FP4+FP8,IMAGENET,torch-alexnet,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
20,INT4+INT4+FP4+FP8,IMAGENET,torch-resnet18,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
21,INT4+INT4+FP4+FP8,IMAGENET,torch-resnet50,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
22,INT4+INT4+FP4+FP8,IMAGENET,torch-mobilenet_v2,Mixed_Precision,Digital,PACT+SAWB+Radix-4+None,QAT+Hybrid data Types,Yes,
